Month,DayOfWeek,AirTime,Distance,TaxiIn,TaxiOut,Delay,jfk_origin
1,5,32.0,94,20.0,18.0,late,0
1,5,79.0,425,5.0,29.0,late,1
1,5,88.0,508,8.0,41.0,late,1
1,5,85.0,340,10.0,53.0,late,1
1,5,71.0,425,6.0,16.0,late,1
1,6,45.0,209,7.0,24.0,ontime,1
1,6,145.0,760,10.0,23.0,late,1
1,6,96.0,508,16.0,20.0,ontime,1
1,6,75.0,426,10.0,30.0,ontime,1
1,6,163.0,1522,10.0,10.0,ontime,0
1,6,36.0,106,10.0,10.0,late,0
1,6,78.0,426,24.0,40.0,late,1
1,6,69.0,340,7.0,46.0,ontime,1
1,6,88.0,589,7.0,19.0,ontime,0
1,6,125.0,740,5.0,35.0,ontime,1
1,6,73.0,508,12.0,15.0,ontime,0
1,6,25.0,106,8.0,22.0,late,1
1,6,42.0,267,10.0,28.0,late,1
1,6,45.0,213,13.0,17.0,ontime,0
1,7,48.0,213,9.0,36.0,late,1
1,7,65.0,213,9.0,55.0,late,1
1,7,42.0,209,8.0,35.0,ontime,1
1,7,83.0,508,5.0,51.0,ontime,1
1,7,128.0,740,10.0,22.0,ontime,1
1,7,68.0,426,10.0,12.0,ontime,0
1,7,46.0,94,5.0,34.0,ontime,1
1,7,99.0,589,16.0,71.0,late,0
1,7,133.0,766,11.0,20.0,late,0
1,7,63.0,340,7.0,40.0,ontime,1
1,7,119.0,766,22.0,18.0,late,0
1,7,117.0,740,10.0,48.0,late,1
1,7,81.0,483,6.0,48.0,ontime,1
1,7,34.0,187,11.0,35.0,ontime,1
1,7,59.0,187,18.0,15.0,late,0
1,7,101.0,589,3.0,35.0,ontime,1
1,7,88.0,508,22.0,17.0,ontime,0
1,7,59.0,213,11.0,22.0,ontime,0
1,1,52.0,213,4.0,30.0,ontime,1
1,1,41.0,209,6.0,23.0,ontime,1
1,1,84.0,340,10.0,37.0,late,0
1,1,51.0,264,7.0,20.0,ontime,1
1,1,49.0,288,5.0,11.0,ontime,0
1,1,111.0,760,9.0,27.0,late,1
1,1,54.0,213,9.0,19.0,late,0
1,1,37.0,184,8.0,20.0,late,0
1,1,82.0,425,15.0,38.0,late,0
1,1,86.0,425,8.0,39.0,late,0
1,1,172.0,1522,9.0,9.0,late,0
1,1,35.0,106,15.0,15.0,ontime,0
1,1,100.0,589,18.0,15.0,late,0
1,1,108.0,740,12.0,46.0,late,0
1,1,27.0,144,8.0,25.0,ontime,1
1,1,84.0,426,10.0,41.0,late,1
1,1,113.0,766,24.0,17.0,ontime,0
1,1,63.0,340,11.0,37.0,late,1
1,1,101.0,589,8.0,14.0,late,0
1,1,40.0,184,14.0,31.0,late,0
1,1,104.0,589,12.0,23.0,late,0
1,1,116.0,740,10.0,49.0,ontime,1
1,1,77.0,508,12.0,21.0,late,0
1,1,54.0,187,15.0,24.0,late,1
1,1,46.0,187,26.0,43.0,late,0
1,1,48.0,267,5.0,35.0,ontime,1
1,1,70.0,340,14.0,26.0,late,0
1,1,29.0,106,5.0,21.0,late,1
1,1,52.0,267,4.0,18.0,late,1
1,1,88.0,508,17.0,22.0,ontime,1
1,1,74.0,425,10.0,41.0,ontime,1
1,2,42.0,209,6.0,17.0,late,1
1,2,106.0,760,8.0,16.0,ontime,1
1,2,98.0,760,8.0,14.0,ontime,0
1,2,77.0,425,19.0,69.0,late,0
1,2,176.0,1522,55.0,11.0,late,0
1,2,40.0,94,11.0,24.0,ontime,0
1,2,101.0,589,17.0,17.0,ontime,0
1,2,35.0,106,13.0,26.0,late,0
1,2,74.0,340,5.0,51.0,ontime,1
1,2,89.0,483,13.0,18.0,ontime,0
1,2,100.0,589,9.0,23.0,ontime,1
1,3,123.0,740,7.0,22.0,ontime,1
1,3,180.0,1522,11.0,14.0,ontime,0
1,3,22.0,94,8.0,20.0,ontime,1
1,3,87.0,426,25.0,20.0,late,0
1,3,41.0,187,10.0,25.0,ontime,0
1,3,38.0,187,12.0,17.0,late,1
1,3,56.0,187,5.0,16.0,ontime,1
1,3,49.0,187,28.0,32.0,late,0
1,3,73.0,425,8.0,48.0,ontime,1
1,4,40.0,209,5.0,57.0,ontime,1
1,4,100.0,760,7.0,20.0,late,0
1,4,166.0,892,10.0,64.0,late,1
1,4,169.0,1522,27.0,20.0,late,0
1,4,50.0,94,13.0,57.0,late,1
1,4,92.0,213,20.0,20.0,late,0
1,4,70.0,426,31.0,35.0,late,0
1,4,73.0,340,15.0,47.0,late,1
1,4,88.0,740,9.0,38.0,ontime,0
1,4,136.0,740,14.0,91.0,late,1
1,4,73.0,340,7.0,40.0,late,1
1,4,35.0,187,10.0,15.0,ontime,1
1,4,75.0,508,17.0,14.0,late,0
1,4,50.0,187,7.0,21.0,ontime,0
1,4,83.0,483,17.0,20.0,ontime,0
1,4,42.0,267,5.0,48.0,ontime,1
1,4,109.0,589,5.0,33.0,late,1
1,4,20.0,94,12.0,35.0,late,0
1,4,49.0,213,12.0,23.0,late,0
1,4,75.0,425,10.0,51.0,ontime,1
1,4,89.0,425,5.0,25.0,ontime,1
1,5,51.0,288,9.0,22.0,late,0
1,5,130.0,760,18.0,54.0,late,1
1,5,79.0,426,8.0,36.0,late,1
1,5,100.0,508,11.0,49.0,ontime,1
1,5,136.0,740,5.0,25.0,late,1
1,5,43.0,184,10.0,15.0,late,0
1,5,70.0,425,10.0,12.0,ontime,0
1,5,163.0,892,2.0,12.0,late,1
1,5,177.0,1522,23.0,15.0,late,0
1,5,39.0,106,29.0,108.0,late,0
1,5,22.0,94,20.0,20.0,ontime,1
1,5,37.0,106,11.0,37.0,late,0
1,5,132.0,766,20.0,15.0,late,0
1,5,81.0,589,5.0,18.0,ontime,0
1,5,105.0,740,10.0,37.0,late,0
1,5,67.0,288,5.0,48.0,late,1
1,5,94.0,589,12.0,10.0,ontime,0
1,5,26.0,144,4.0,63.0,ontime,1
1,5,46.0,184,22.0,24.0,late,0
1,5,71.0,340,10.0,39.0,late,1
1,5,40.0,187,20.0,20.0,late,0
1,5,62.0,340,7.0,26.0,late,0
1,5,70.0,340,16.0,14.0,ontime,0
1,5,23.0,106,8.0,24.0,late,1
1,5,109.0,589,5.0,20.0,ontime,1
1,5,149.0,766,5.0,31.0,late,1
1,5,87.0,508,19.0,20.0,late,0
1,5,91.0,425,9.0,29.0,ontime,1
1,6,56.0,213,5.0,37.0,ontime,1
1,6,44.0,209,10.0,26.0,ontime,1
1,6,44.0,209,16.0,11.0,late,0
1,6,137.0,760,10.0,20.0,late,1
1,6,92.0,483,5.0,18.0,ontime,1
1,6,115.0,589,4.0,22.0,late,1
1,6,44.0,267,7.0,54.0,late,1
1,6,89.0,425,5.0,21.0,late,0
1,6,82.0,425,7.0,26.0,ontime,1
1,6,61.0,425,4.0,11.0,ontime,0
1,6,172.0,1522,34.0,14.0,late,0
1,6,88.0,589,8.0,23.0,ontime,0
1,6,112.0,508,9.0,54.0,late,1
1,6,75.0,589,3.0,25.0,ontime,0
1,6,35.0,184,12.0,41.0,late,0
1,6,105.0,740,11.0,44.0,late,0
1,6,148.0,740,6.0,17.0,ontime,1
1,6,42.0,267,4.0,32.0,ontime,1
1,6,60.0,267,10.0,17.0,late,0
1,7,53.0,213,5.0,66.0,late,1
1,7,42.0,209,6.0,53.0,late,1
1,7,124.0,508,5.0,66.0,late,1
1,7,50.0,184,5.0,32.0,late,1
1,7,96.0,760,13.0,18.0,ontime,0
1,7,72.0,425,11.0,12.0,ontime,0
1,7,194.0,1522,6.0,14.0,ontime,0
1,7,48.0,94,16.0,36.0,late,0
1,7,128.0,766,5.0,77.0,late,1
1,7,114.0,892,7.0,15.0,ontime,0
1,7,97.0,740,8.0,15.0,late,0
1,7,33.0,144,4.0,19.0,ontime,1
1,7,37.0,106,9.0,14.0,ontime,0
1,7,118.0,766,9.0,15.0,ontime,0
1,7,70.0,426,9.0,15.0,ontime,0
1,7,53.0,213,6.0,87.0,late,1
1,7,80.0,589,5.0,15.0,ontime,0
1,7,54.0,184,5.0,26.0,late,0
1,7,137.0,740,5.0,60.0,late,1
1,7,43.0,184,9.0,15.0,late,0
1,7,139.0,740,11.0,75.0,late,1
1,7,36.0,187,10.0,38.0,late,1
1,7,53.0,187,11.0,19.0,late,0
1,7,85.0,508,13.0,27.0,late,0
1,7,75.0,425,9.0,64.0,late,1
1,1,43.0,213,7.0,10.0,ontime,0
1,1,51.0,213,4.0,17.0,late,1
1,1,59.0,213,5.0,77.0,late,1
1,1,65.0,340,8.0,29.0,late,0
1,1,65.0,264,13.0,12.0,late,0
1,1,100.0,508,5.0,20.0,ontime,1
1,1,58.0,264,6.0,16.0,ontime,1
1,1,104.0,760,9.0,20.0,late,0
1,1,29.0,94,8.0,36.0,ontime,1
1,1,84.0,589,16.0,15.0,late,0
1,1,94.0,740,9.0,24.0,ontime,0
1,1,45.0,213,10.0,80.0,late,0
1,1,72.0,340,5.0,28.0,ontime,1
1,1,51.0,213,10.0,44.0,late,0
1,1,85.0,589,7.0,8.0,late,0
1,1,88.0,740,10.0,53.0,late,0
1,1,44.0,184,7.0,19.0,late,0
1,1,73.0,340,10.0,23.0,late,1
1,1,97.0,740,9.0,21.0,ontime,0
1,1,89.0,483,4.0,25.0,late,1
1,1,134.0,740,8.0,81.0,late,1
1,1,52.0,187,10.0,33.0,late,0
1,1,43.0,184,4.0,16.0,late,1
1,1,49.0,187,18.0,35.0,late,0
1,1,60.0,340,29.0,11.0,ontime,0
1,1,44.0,267,10.0,38.0,ontime,1
1,1,93.0,589,6.0,22.0,late,1
1,1,130.0,766,5.0,25.0,late,1
1,1,51.0,267,4.0,20.0,ontime,1
1,1,86.0,508,11.0,16.0,ontime,0
1,1,136.0,213,10.0,9.0,late,0
1,2,55.0,213,4.0,17.0,late,1
1,2,57.0,213,9.0,33.0,ontime,1
1,2,52.0,209,7.0,29.0,late,1
1,2,50.0,264,5.0,20.0,late,1
1,2,52.0,288,5.0,11.0,late,0
1,2,96.0,508,5.0,46.0,late,1
1,2,56.0,264,6.0,15.0,late,0
1,2,76.0,425,10.0,29.0,late,0
1,2,153.0,892,5.0,19.0,late,1
1,2,179.0,1522,10.0,17.0,late,0
1,2,262.0,1522,9.0,39.0,ontime,1
1,2,41.0,94,7.0,39.0,late,1
1,2,44.0,106,9.0,58.0,late,0
1,2,45.0,94,10.0,20.0,ontime,0
1,2,27.0,94,15.0,33.0,late,1
1,2,130.0,766,7.0,13.0,ontime,1
1,2,64.0,213,15.0,16.0,late,0
1,2,89.0,426,9.0,37.0,ontime,1
1,2,123.0,766,5.0,21.0,late,0
1,2,77.0,426,14.0,43.0,late,0
1,2,86.0,267,10.0,19.0,late,0
1,2,45.0,213,10.0,35.0,late,0
1,2,108.0,740,11.0,26.0,late,0
1,2,49.0,184,10.0,21.0,late,0
1,2,24.0,106,5.0,43.0,ontime,1
1,2,160.0,740,10.0,50.0,late,1
1,2,58.0,184,16.0,72.0,late,0
1,2,125.0,740,12.0,79.0,late,1
1,2,37.0,144,11.0,15.0,late,0
1,2,64.0,187,7.0,26.0,late,1
1,2,56.0,187,13.0,74.0,late,0
1,2,42.0,267,5.0,53.0,ontime,1
1,2,77.0,340,10.0,38.0,late,0
1,2,18.0,106,12.0,27.0,late,1
1,2,100.0,508,16.0,20.0,late,0
1,2,80.0,340,9.0,31.0,late,1
1,3,119.0,760,10.0,15.0,ontime,1
1,3,96.0,508,12.0,84.0,late,1
1,3,133.0,892,9.0,10.0,late,0
1,3,174.0,1522,6.0,17.0,ontime,0
1,3,100.0,589,15.0,22.0,late,0
1,3,56.0,288,7.0,32.0,late,1
1,3,130.0,740,11.0,48.0,late,1
1,3,133.0,740,6.0,71.0,late,1
1,3,72.0,340,12.0,30.0,ontime,1
1,3,39.0,187,8.0,18.0,ontime,1
1,3,78.0,508,18.0,35.0,ontime,0
1,4,76.0,340,8.0,40.0,late,0
1,4,47.0,264,10.0,45.0,ontime,1
1,4,89.0,483,6.0,16.0,ontime,1
1,4,93.0,760,9.0,20.0,ontime,0
